A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
14 	Be     	4  	10 	0.000   	0+            	39.95               	0.13      	4.35 MS 0.17             	0.00435                  	          	        	BN      	86.00       
14 	Be     	4  	10 	0.000   	0+            	39.95               	0.13      	4.35 MS 0.17             	0.00435                  	          	        	B2N     	5.00        
14 	Be     	4  	10 	0.000   	0+            	39.95               	0.13      	4.35 MS 0.17             	0.00435                  	          	        	B3N     	? 0.00      
14 	Be     	4  	10 	0.000   	0+            	39.95               	0.13      	4.35 MS 0.17             	0.00435                  	          	        	B-      	100.00      
14 	Be     	4  	10 	0.000   	0+            	39.95               	0.13      	4.35 MS 0.17             	0.00435                  	          	        	BA      	?           
15 	Be     	4  	11 	        	(5/2+)        	49.83               	0.17      	0.58 MEV 0.2             	7.857E-22                	          	        	N       	100.00      
16 	Be     	4  	12 	        	0+            	57.45               	0.17      	0.8 MEV 0.2              	5.696E-22                	          	        	N       	100.00      
6  	B      	5  	1  	        	              	47.3                	2.0       	                         	                         	          	        	2P      	?           
7  	B      	5  	2  	0.0000  	(3/2-)        	27.68               	0.03      	1.4 MEV 0.2              	3.255E-22                	          	        	A       	            
7  	B      	5  	2  	0.0000  	(3/2-)        	27.68               	0.03      	1.4 MEV 0.2              	3.255E-22                	          	        	P       	            
8  	B      	5  	3  	0.0000  	2+            	22.9216             	0.001     	770 MS 3                 	0.77                     	          	        	EA      	100.00      
8  	B      	5  	3  	0.0000  	2+            	22.9216             	0.001     	770 MS 3                 	0.77                     	          	        	EC      	100.00      
9  	B      	5  	4  	0.0000  	3/2-          	12.4165             	9.0E-4    	0.54 KEV 0.21            	8.439E-19                	          	        	P       	100.00      
9  	B      	5  	4  	0.0000  	3/2-          	12.4165             	9.0E-4    	0.54 KEV 0.21            	8.439E-19                	          	        	2A      	100.00      
10 	B      	5  	5  	0.0000  	3+            	12.050609           	1.5E-5    	STABLE                   	infinity                 	19.9%     	0.7     	        	            
11 	B      	5  	6  	0.0000  	3/2-          	8.667707            	1.2E-5    	STABLE                   	infinity                 	80.1%     	0.7     	        	            
12 	B      	5  	7  	0.0000  	1+            	13.3694             	0.0013    	20.20 MS 0.02            	0.0202                   	          	        	B-      	100.00      
12 	B      	5  	7  	0.0000  	1+            	13.3694             	0.0013    	20.20 MS 0.02            	0.0202                   	          	        	B3A     	1.58        
13 	B      	5  	8  	0.000   	3/2-          	16.5619             	0.001     	17.33 MS 0.17            	0.0173                   	          	        	B-      	100.00      
13 	B      	5  	8  	0.000   	3/2-          	16.5619             	0.001     	17.33 MS 0.17            	0.0173                   	          	        	BN      	0.26        
14 	B      	5  	9  	0.000   	2-            	23.664              	0.021     	12.36 MS 0.29            	0.0124                   	          	        	B-      	100.00      
14 	B      	5  	9  	0.000   	2-            	23.664              	0.021     	12.36 MS 0.29            	0.0124                   	          	        	BN      	6.04        
15 	B      	5  	10 	0.000   	              	28.958              	0.021     	10.18 MS 0.03            	0.0102                   	          	        	B2N     	< 1.50      
15 	B      	5  	10 	0.000   	              	28.958              	0.021     	10.18 MS 0.03            	0.0102                   	          	        	B-      	100.00      
15 	B      	5  	10 	0.000   	              	28.958              	0.021     	10.18 MS 0.03            	0.0102                   	          	        	BN      	99.60       
16 	B      	5  	11 	0.0000  	0-            	37.113              	0.025     	190 PS LT                	1.9E-10                  	          	        	N       	            
