A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
92 	Kr     	36 	56 	0.0000  	0+            	-68.769             	0.003     	1.840 S 0.008            	1.84                     	          	        	B-      	100.00      
92 	Kr     	36 	56 	0.0000  	0+            	-68.769             	0.003     	1.840 S 0.008            	1.84                     	          	        	BN      	0.03        
93 	Kr     	36 	57 	0.0000  	1/2+          	-64.136             	0.003     	1.286 S 0.01             	1.286                    	          	        	B-      	100.00      
93 	Kr     	36 	57 	0.0000  	1/2+          	-64.136             	0.003     	1.286 S 0.01             	1.286                    	          	        	BN      	1.95        
94 	Kr     	36 	58 	0.0000  	0+            	-61.348             	0.012     	212 MS 5                 	0.212                    	          	        	BN      	1.11        
94 	Kr     	36 	58 	0.0000  	0+            	-61.348             	0.012     	212 MS 5                 	0.212                    	          	        	B-      	100.00      
95 	Kr     	36 	59 	0.0000  	1/2(+)        	-56.159             	0.019     	0.114 S 0.003            	0.114                    	          	        	B-      	100.00      
95 	Kr     	36 	59 	0.0000  	1/2(+)        	-56.159             	0.019     	0.114 S 0.003            	0.114                    	          	        	BN      	2.87        
96 	Kr     	36 	60 	0.0000  	0+            	-53.08              	0.02      	80 MS 6                  	0.08                     	          	        	BN      	3.70        
96 	Kr     	36 	60 	0.0000  	0+            	-53.08              	0.02      	80 MS 6                  	0.08                     	          	        	B-      	100.00      
97 	Kr     	36 	61 	0.0000  	(3/2+)        	-47.42              	0.13      	63 MS 4                  	0.063                    	          	        	B-      	100.00      
97 	Kr     	36 	61 	0.0000  	(3/2+)        	-47.42              	0.13      	63 MS 4                  	0.063                    	          	        	BN      	6.70        
98 	Kr     	36 	62 	0.0000  	0+            	-44.3               	0.3       	46 MS 8                  	0.046                    	          	        	B-      	100.00      
98 	Kr     	36 	62 	0.0000  	0+            	-44.3               	0.3       	46 MS 8                  	0.046                    	          	        	BN      	7.00        
99 	Kr     	36 	63 	0.0000  	              	-38.8               	0.4       	13 MS +34-6              	0.013                    	          	        	B-      	100.00      
99 	Kr     	36 	63 	0.0000  	              	-38.8               	0.4       	13 MS +34-6              	0.013                    	          	        	BN      	11.00       
100	Kr     	36 	64 	0.0000  	0+            	-35.1               	0.4       	7 MS +11-3               	0.007                    	          	        	B-      	100.00      
100	Kr     	36 	64 	0.0000  	0+            	-35.1               	0.4       	7 MS +11-3               	0.007                    	          	        	BN      	            
101	Kr     	36 	65 	0.0000  	              	-1.0                	0.0       	635 NS GT                	6.35E-7                  	          	        	B-      	100.00      
101	Kr     	36 	65 	0.0000  	              	-1.0                	0.0       	635 NS GT                	6.35E-7                  	          	        	BN      	            
101	Kr     	36 	65 	0.0000  	              	-1.0                	0.0       	635 NS GT                	6.35E-7                  	          	        	B2N     	            
71 	Rb     	37 	34 	        	              	-32.1               	0.4       	                         	                         	          	        	P       	?           
72 	Rb     	37 	35 	0.0000  	(3+)          	-38.3               	0.5       	1.2 US LT                	1.2E-6                   	          	        	P       	?           
73 	Rb     	37 	36 	0.0000  	              	-46.08              	0.2       	30 NS LT                 	3.0000000000000004E-8    	          	        	EC      	?           
73 	Rb     	37 	36 	0.0000  	              	-46.08              	0.2       	30 NS LT                 	3.0000000000000004E-8    	          	        	P       	> 0.00      
74 	Rb     	37 	37 	0.0000  	(0+)          	-51.916             	0.003     	64.9 MS 0.5              	0.0649                   	          	        	EC      	100.00      
75 	Rb     	37 	38 	0.0000  	(3/2-)        	-57.2187            	0.0012    	19.0 S 1.2               	19                       	          	        	EC      	100.00      
76 	Rb     	37 	39 	0.0000  	1(-)          	-60.4791            	9.0E-4    	36.5 S 0.6               	36.5                     	          	        	EC      	100.00      
76 	Rb     	37 	39 	0.0000  	1(-)          	-60.4791            	9.0E-4    	36.5 S 0.6               	36.5                     	          	        	EA      	3.8E-7      
77 	Rb     	37 	40 	0.0000  	3/2-          	-64.8305            	0.0013    	3.77 M 0.04              	226.2                    	          	        	EC      	100.00      
78 	Rb     	37 	41 	0.0000  	0(+)          	-66.935             	0.003     	17.66 M 0.03             	1059.6                   	          	        	EC      	100.00      
78 	Rb     	37 	41 	0.1112  	4(-)          	-66.824             	0.003     	5.74 M 0.03              	344.4                    	          	        	IT      	9.00        
78 	Rb     	37 	41 	0.1112  	4(-)          	-66.824             	0.003     	5.74 M 0.03              	344.4                    	          	        	EC      	91.00       
79 	Rb     	37 	42 	0.0000  	5/2+          	-70.803             	0.0021    	22.9 M 0.5               	1374                     	          	        	EC      	100.00      
80 	Rb     	37 	43 	0.0000  	1+            	-72.1755            	0.0019    	33.4 S 0.7               	33.4                     	          	        	EC      	100.00      
81 	Rb     	37 	44 	0.0000  	3/2-          	-75.457             	0.005     	4.572 H 0.004            	16459.2                  	          	        	EC      	100.00      
81 	Rb     	37 	44 	0.0863  	9/2+          	-75.37              	0.005     	30.5 M 0.3               	1830                     	          	        	EC      	2.40        
81 	Rb     	37 	44 	0.0863  	9/2+          	-75.37              	0.005     	30.5 M 0.3               	1830                     	          	        	IT      	97.60       
82 	Rb     	37 	45 	0.0000  	1+            	-76.188             	0.003     	1.2575 M 2.0E-4          	75.45                    	          	        	EC      	100.00      
82 	Rb     	37 	45 	0.0690  	5-            	-76.119             	0.003     	6.472 H 0.006            	23299.2                  	          	        	EC      	100.00      
82 	Rb     	37 	45 	0.0690  	5-            	-76.119             	0.003     	6.472 H 0.006            	23299.2                  	          	        	IT      	< 0.33      
83 	Rb     	37 	46 	0.0000  	5/2-          	-79.0706            	0.0023    	86.2 D 0.1               	7447680                  	          	        	EC      	100.00      
84 	Rb     	37 	47 	0.0000  	2-            	-79.759             	0.0022    	32.82 D 0.07             	2835648                  	          	        	EC      	96.10       
84 	Rb     	37 	47 	0.0000  	2-            	-79.759             	0.0022    	32.82 D 0.07             	2835648                  	          	        	B-      	3.90        
84 	Rb     	37 	47 	0.4636  	6-            	-79.2954            	0.0022    	20.26 M 0.04             	1215.6                   	          	        	IT      	100.00      
85 	Rb     	37 	48 	0.0000  	5/2-          	-82.167328          	5.0E-6    	STABLE                   	infinity                 	72.17%    	0.02    	        	            
86 	Rb     	37 	49 	0.0000  	2-            	-82.74699           	2.0E-4    	18.642 D 0.018           	1610668.8                	          	        	B-      	99.99       
86 	Rb     	37 	49 	0.0000  	2-            	-82.74699           	2.0E-4    	18.642 D 0.018           	1610668.8                	          	        	EC      	5.2E-3      
86 	Rb     	37 	49 	0.5561  	6-            	-82.19089           	2.0E-4    	1.017 M 0.003            	61.02                    	          	        	IT      	100.00      
86 	Rb     	37 	49 	0.5561  	6-            	-82.19089           	2.0E-4    	1.017 M 0.003            	61.02                    	          	        	B-      	< 0.30      
87 	Rb     	37 	50 	0.0000  	3/2-          	-84.597789          	6.0E-6    	4.97E10 Y 0.03E10        	1.568E18                 	27.83%    	0.02    	B-      	100.00      
88 	Rb     	37 	51 	0.0000  	2-            	-82.60899           	1.6E-4    	17.773 M 0.011           	1066.38                  	          	        	B-      	100.00      
88 	Rb     	37 	51 	1.3738  	(7+)          	-81.23519           	1.6E-4    	123 NS 13                	1.23E-7                  	          	        	IT      	100.00      
89 	Rb     	37 	52 	0.0000  	3/2-          	-81.712             	0.005     	15.32 M 0.1              	919.2                    	          	        	B-      	100.00      
90 	Rb     	37 	53 	0.0000  	0-            	-79.364             	0.006     	158 S 5                  	158                      	          	        	B-      	100.00      
90 	Rb     	37 	53 	0.1069  	3-            	-79.258             	0.006     	258 S 4                  	258                      	          	        	B-      	97.40       
90 	Rb     	37 	53 	0.1069  	3-            	-79.258             	0.006     	258 S 4                  	258                      	          	        	IT      	2.60        
91 	Rb     	37 	54 	0.0000  	3/2(-)        	-77.745             	0.008     	58.2 S 0.3               	58.2                     	          	        	B-      	100.00      
92 	Rb     	37 	55 	0.0000  	0-            	-74.772             	0.006     	4.492 S 0.02             	4.492                    	          	        	BN      	0.01        
92 	Rb     	37 	55 	0.0000  	0-            	-74.772             	0.006     	4.492 S 0.02             	4.492                    	          	        	B-      	100.00      
93 	Rb     	37 	56 	0.0000  	5/2-          	-72.62              	0.008     	5.84 S 0.02              	5.84                     	          	        	B-      	100.00      
93 	Rb     	37 	56 	0.0000  	5/2-          	-72.62              	0.008     	5.84 S 0.02              	5.84                     	          	        	BN      	1.39        
94 	Rb     	37 	57 	0.0000  	3(-)          	-68.5628            	0.002     	2.702 S 0.005            	2.702                    	          	        	B-      	100.00      
94 	Rb     	37 	57 	0.0000  	3(-)          	-68.5628            	0.002     	2.702 S 0.005            	2.702                    	          	        	BN      	10.50       
95 	Rb     	37 	58 	0.0000  	5/2-          	-65.891             	0.02      	377.7 MS 0.8             	0.378                    	          	        	B-      	100.00      
95 	Rb     	37 	58 	0.0000  	5/2-          	-65.891             	0.02      	377.7 MS 0.8             	0.378                    	          	        	BN      	8.70        
96 	Rb     	37 	59 	0.0000  	2(-)          	-61.354             	0.003     	203 MS 3                 	0.203                    	          	        	B-      	100.00      
96 	Rb     	37 	59 	0.0000  	2(-)          	-61.354             	0.003     	203 MS 3                 	0.203                    	          	        	BN      	13.30       
97 	Rb     	37 	60 	0.0000  	3/2+          	-58.5191            	0.0019    	169.1 MS 0.6             	0.169                    	          	        	BN      	25.50       
97 	Rb     	37 	60 	0.0000  	3/2+          	-58.5191            	0.0019    	169.1 MS 0.6             	0.169                    	          	        	B-      	100.00      
97 	Rb     	37 	60 	0.0766  	3/2+          	-58.4425            	0.0019    	5.7 US 0.6               	5.7E-6                   	          	        	IT      	100.00      
98 	Rb     	37 	61 	0.0000  	(0,1)         	-54.369             	0.016     	102 MS 4                 	0.102                    	          	        	B2N     	0.05        
98 	Rb     	37 	61 	0.0000  	(0,1)         	-54.369             	0.016     	102 MS 4                 	0.102                    	          	        	B-      	100.00      
98 	Rb     	37 	61 	0.0000  	(0,1)         	-54.369             	0.016     	102 MS 4                 	0.102                    	          	        	BN      	13.80       
98 	Rb     	37 	61 	0.2700  	(3,4)         	-54.099             	0.016     	96 MS 3                  	0.096                    	          	        	B-      	100.00      
99 	Rb     	37 	62 	0.0000  	(5/2+)        	-51.121             	0.004     	54 MS 4                  	0.054                    	          	        	B-      	100.00      
99 	Rb     	37 	62 	0.0000  	(5/2+)        	-51.121             	0.004     	54 MS 4                  	0.054                    	          	        	BN      	15.80       
100	Rb     	37 	63 	0.0000  	(3+,4-)       	-46.247             	0.02      	51 MS 8                  	0.051                    	          	        	BN      	6.00        
100	Rb     	37 	63 	0.0000  	(3+,4-)       	-46.247             	0.02      	51 MS 8                  	0.051                    	          	        	B2N     	0.16        
100	Rb     	37 	63 	0.0000  	(3+,4-)       	-46.247             	0.02      	51 MS 8                  	0.051                    	          	        	B-      	100.00      
101	Rb     	37 	64 	0.0000  	(3/2+)        	-42.84              	0.2       	32 MS 5                  	0.032                    	          	        	B-      	100.00      
101	Rb     	37 	64 	0.0000  	(3/2+)        	-42.84              	0.2       	32 MS 5                  	0.032                    	          	        	BN      	28.00       
102	Rb     	37 	65 	0.0000  	              	-37.7               	0.3       	37 MS 3                  	0.037                    	          	        	B-      	100.00      
102	Rb     	37 	65 	0.0000  	              	-37.7               	0.3       	37 MS 3                  	0.037                    	          	        	BN      	18.00       
103	Rb     	37 	66 	0.0000  	              	-1.0                	0.0       	23 MS +13-9              	0.023                    	          	        	B-      	100.00      
103	Rb     	37 	66 	0.0000  	              	-1.0                	0.0       	23 MS +13-9              	0.023                    	          	        	BN      	?           
103	Rb     	37 	66 	0.0000  	              	-1.0                	0.0       	23 MS +13-9              	0.023                    	          	        	B2N     	?           
73 	Sr     	38 	35 	0.0000  	              	-31.9               	0.4       	25 MS GT                 	0.025                    	          	        	EC      	100.00      
73 	Sr     	38 	35 	0.0000  	              	-31.9               	0.4       	25 MS GT                 	0.025                    	          	        	EP      	> 0.00      
74 	Sr     	38 	36 	0.0000  	0+            	-40.83              	0.1       	27 MS 8                  	0.027                    	          	        	EC      	100.00      
74 	Sr     	38 	36 	0.0000  	0+            	-40.83              	0.1       	27 MS 8                  	0.027                    	          	        	EP      	?           
75 	Sr     	38 	37 	0.0000  	(3/2-)        	-46.62              	0.22      	88 MS 3                  	0.088                    	          	        	EC      	100.00      
75 	Sr     	38 	37 	0.0000  	(3/2-)        	-46.62              	0.22      	88 MS 3                  	0.088                    	          	        	EP      	5.20        
76 	Sr     	38 	38 	0.0000  	0+            	-54.25              	0.03      	7.89 S 0.07              	7.89                     	          	        	EC      	100.00      
76 	Sr     	38 	38 	0.0000  	0+            	-54.25              	0.03      	7.89 S 0.07              	7.89                     	          	        	EP      	3.4E-5      
77 	Sr     	38 	39 	0.0000  	5/2+          	-57.803             	0.008     	9.0 S 0.2                	9                        	          	        	EP      	< 0.25      
77 	Sr     	38 	39 	0.0000  	5/2+          	-57.803             	0.008     	9.0 S 0.2                	9                        	          	        	EC      	100.00      
78 	Sr     	38 	40 	0.0000  	0+            	-63.174             	0.007     	160 S 8                  	160                      	          	        	EC      	100.00      
79 	Sr     	38 	41 	0.0000  	3/2(-)        	-65.477             	0.008     	2.25 M 0.1               	135                      	          	        	EC      	100.00      
80 	Sr     	38 	42 	0.0000  	0+            	-70.311             	0.003     	106.3 M 1.5              	6378                     	          	        	EC      	100.00      
81 	Sr     	38 	43 	0.0000  	1/2-          	-71.528             	0.003     	22.3 M 0.4               	1338                     	          	        	EC      	100.00      
82 	Sr     	38 	44 	0.0000  	0+            	-76.01              	0.006     	25.34 D 0.02             	2189376                  	          	        	EC      	100.00      
83 	Sr     	38 	45 	0.0000  	7/2+          	-76.798             	0.007     	32.41 H 0.03             	116675.1                 	          	        	EC      	100.00      
83 	Sr     	38 	45 	0.2591  	1/2-          	-76.539             	0.007     	4.95 S 0.12              	4.95                     	          	        	IT      	100.00      
84 	Sr     	38 	46 	0.0000  	0+            	-80.6496            	0.0012    	STABLE                   	infinity                 	0.56%     	0.01    	        	            
85 	Sr     	38 	47 	0.0000  	9/2+          	-81.103             	0.003     	64.849 D 0.007           	5602953.6                	          	        	EC      	100.00      
85 	Sr     	38 	47 	0.2387  	1/2-          	-80.865             	0.003     	67.63 M 0.04             	4057.8                   	          	        	IT      	86.60       
85 	Sr     	38 	47 	0.2387  	1/2-          	-80.865             	0.003     	67.63 M 0.04             	4057.8                   	          	        	EC      	13.40       
86 	Sr     	38 	48 	0.0000  	0+            	-84.523086          	5.0E-6    	STABLE                   	infinity                 	9.86%     	0.01    	        	            
87 	Sr     	38 	49 	0.0000  	9/2+          	-84.880062          	5.0E-6    	STABLE                   	infinity                 	7.00%     	0.01    	        	            
87 	Sr     	38 	49 	0.3885  	1/2-          	-84.491562          	5.0E-6    	2.815 H 0.012            	10134                    	          	        	IT      	99.70       
87 	Sr     	38 	49 	0.3885  	1/2-          	-84.491562          	5.0E-6    	2.815 H 0.012            	10134                    	          	        	EC      	0.30        
88 	Sr     	38 	50 	0.0000  	0+            	-87.921617          	6.0E-6    	STABLE                   	infinity                 	82.58%    	0.01    	        	            
89 	Sr     	38 	51 	0.0000  	5/2+          	-86.20902           	9.0E-5    	50.563 D 0.025           	4368643.2                	          	        	B-      	100.00      
90 	Sr     	38 	52 	0.0000  	0+            	-85.9481            	0.0021    	28.90 Y 0.03             	9.12E8                   	          	        	B-      	100.00      
91 	Sr     	38 	53 	0.0000  	5/2+          	-83.652             	0.005     	9.65 H 0.06              	34740                    	          	        	B-      	100.00      
92 	Sr     	38 	54 	0.0000  	0+            	-82.867             	0.003     	2.66 H 0.04              	9576                     	          	        	B-      	100.00      
93 	Sr     	38 	55 	0.0000  	5/2+          	-80.086             	0.008     	7.43 M 0.03              	445.8                    	          	        	B-      	100.00      
94 	Sr     	38 	56 	0.0000  	0+            	-78.8457            	0.0017    	75.3 S 0.2               	75.3                     	          	        	B-      	100.00      
95 	Sr     	38 	57 	0.0000  	1/2+          	-75.12              	0.006     	23.90 S 0.14             	23.9                     	          	        	B-      	100.00      
96 	Sr     	38 	58 	0.0000  	0+            	-72.924             	0.008     	1.07 S 0.01              	1.07                     	          	        	B-      	100.00      
97 	Sr     	38 	59 	0.0000  	1/2+          	-68.581             	0.003     	429 MS 5                 	0.429                    	          	        	B-      	100.00      
97 	Sr     	38 	59 	0.0000  	1/2+          	-68.581             	0.003     	429 MS 5                 	0.429                    	          	        	BN      	<= 0.05     
98 	Sr     	38 	60 	0.0000  	0+            	-66.423             	0.003     	0.653 S 0.002            	0.653                    	          	        	B-      	100.00      
98 	Sr     	38 	60 	0.0000  	0+            	-66.423             	0.003     	0.653 S 0.002            	0.653                    	          	        	BN      	0.25        
99 	Sr     	38 	61 	0.0000  	3/2+          	-62.521             	0.005     	0.269 S 0.001            	0.269                    	          	        	B-      	100.00      
99 	Sr     	38 	61 	0.0000  	3/2+          	-62.521             	0.005     	0.269 S 0.001            	0.269                    	          	        	BN      	0.10        
100	Sr     	38 	62 	0.0000  	0+            	-59.821             	0.007     	202 MS 3                 	0.202                    	          	        	BN      	0.78        
100	Sr     	38 	62 	0.0000  	0+            	-59.821             	0.007     	202 MS 3                 	0.202                    	          	        	B-      	100.00      
101	Sr     	38 	63 	0.0000  	(5/2-)        	-55.325             	0.008     	118 MS 3                 	0.118                    	          	        	B-      	100.00      
101	Sr     	38 	63 	0.0000  	(5/2-)        	-55.325             	0.008     	118 MS 3                 	0.118                    	          	        	BN      	2.37        
102	Sr     	38 	64 	0.0000  	0+            	-52.16              	0.07      	69 MS 6                  	0.069                    	          	        	B-      	100.00      
102	Sr     	38 	64 	0.0000  	0+            	-52.16              	0.07      	69 MS 6                  	0.069                    	          	        	BN      	5.50        
103	Sr     	38 	65 	0.0000  	              	-47.42              	0.2       	53 MS 10                 	0.053                    	          	        	B-      	100.00      
103	Sr     	38 	65 	0.0000  	              	-47.42              	0.2       	53 MS 10                 	0.053                    	          	        	BN      	?           
103	Sr     	38 	65 	0.0000  	              	-47.42              	0.2       	53 MS 10                 	0.053                    	          	        	B2N     	?           
104	Sr     	38 	66 	0.0000  	0+            	-44.1               	0.3       	53 MS 5                  	0.053                    	          	        	BN      	?           
104	Sr     	38 	66 	0.0000  	0+            	-44.1               	0.3       	53 MS 5                  	0.053                    	          	        	B2N     	?           
104	Sr     	38 	66 	0.0000  	0+            	-44.1               	0.3       	53 MS 5                  	0.053                    	          	        	B-      	100.00      
105	Sr     	38 	67 	0.0000  	              	-38.6               	0.5       	39 MS 5                  	0.039                    	          	        	B-      	100.00      
105	Sr     	38 	67 	0.0000  	              	-38.6               	0.5       	39 MS 5                  	0.039                    	          	        	BN      	            
105	Sr     	38 	67 	0.0000  	              	-38.6               	0.5       	39 MS 5                  	0.039                    	          	        	B2      	N           
106	Sr     	38 	68 	0.0000  	0+            	-1.0                	0.0       	20 MS +8-7               	0.02                     	          	        	B-      	100.00      
106	Sr     	38 	68 	0.0000  	0+            	-1.0                	0.0       	20 MS +8-7               	0.02                     	          	        	BN      	?           
106	Sr     	38 	68 	0.0000  	0+            	-1.0                	0.0       	20 MS +8-7               	0.02                     	          	        	B2N     	?           
107	Sr     	38 	69 	0.0000  	              	-1.0                	0.0       	395 NS GT                	3.95E-7                  	          	        	BN      	            
107	Sr     	38 	69 	0.0000  	              	-1.0                	0.0       	395 NS GT                	3.95E-7                  	          	        	B2N     	            
107	Sr     	38 	69 	0.0000  	              	-1.0                	0.0       	395 NS GT                	3.95E-7                  	          	        	B-      	100.00      
76 	Y      	39 	37 	0.0000  	              	-38.5               	0.3       	200 NS GT                	2.0000000000000002E-7    	          	        	EC      	            
76 	Y      	39 	37 	0.0000  	              	-38.5               	0.3       	200 NS GT                	2.0000000000000002E-7    	          	        	P       	            
77 	Y      	39 	38 	0.0000  	(5/2+)        	-46.44              	0.2       	57 MS +22-12             	0.057                    	          	        	EP      	            
77 	Y      	39 	38 	0.0000  	(5/2+)        	-46.44              	0.2       	57 MS +22-12             	0.057                    	          	        	P       	            
77 	Y      	39 	38 	0.0000  	(5/2+)        	-46.44              	0.2       	57 MS +22-12             	0.057                    	          	        	EC      	100.00      
78 	Y      	39 	39 	0.0000  	(0+)          	-52.2               	0.3       	53 MS 8                  	0.053                    	          	        	EC      	100.00      
78 	Y      	39 	39 	0.0000  	(0+)          	-52.2               	0.3       	53 MS 8                  	0.053                    	          	        	EP      	            
78 	Y      	39 	39 	0.0000  	(5+)          	-52.2               	0.3       	5.8 S 0.6                	5.8                      	          	        	EC      	100.00      
78 	Y      	39 	39 	0.0000  	(5+)          	-52.2               	0.3       	5.8 S 0.6                	5.8                      	          	        	EP      	            
79 	Y      	39 	40 	0.0000  	(5/2+)        	-57.82              	0.08      	14.8 S 0.6               	14.8                     	          	        	EC      	100.00      
79 	Y      	39 	40 	0.0000  	(5/2+)        	-57.82              	0.08      	14.8 S 0.6               	14.8                     	          	        	EP      	?           
80 	Y      	39 	41 	0.0000  	(4-)          	-61.148             	0.006     	30.1 S 0.5               	30.1                     	          	        	EP      	            
80 	Y      	39 	41 	0.0000  	(4-)          	-61.148             	0.006     	30.1 S 0.5               	30.1                     	          	        	EC      	100.00      
80 	Y      	39 	41 	0.2285  	(1-)          	-60.92              	0.006     	4.8 S 0.3                	4.8                      	          	        	IT      	81.00       
80 	Y      	39 	41 	0.2285  	(1-)          	-60.92              	0.006     	4.8 S 0.3                	4.8                      	          	        	EC      	19.00       
81 	Y      	39 	42 	0.0000  	(5/2+)        	-65.713             	0.005     	70.4 S 1                 	70.4                     	          	        	EC      	100.00      
82 	Y      	39 	43 	0.0000  	1+            	-68.064             	0.005     	8.30 S 0.2               	8.3                      	          	        	EC      	100.00      
83 	Y      	39 	44 	0.0000  	9/2+          	-72.206             	0.019     	7.08 M 0.08              	424.8                    	          	        	EC      	100.00      
83 	Y      	39 	44 	0.0620  	3/2-          	-72.144             	0.019     	2.85 M 0.02              	171                      	          	        	EC      	60.00       
83 	Y      	39 	44 	0.0620  	3/2-          	-72.144             	0.019     	2.85 M 0.02              	171                      	          	        	IT      	40.00       
84 	Y      	39 	45 	0.0000  	(6+)          	-73.894             	0.004     	39.5 M 0.8               	2370                     	          	        	EC      	100.00      
84 	Y      	39 	45 	0.0670  	1+            	-73.827             	0.004     	4.6 S 0.2                	4.6                      	          	        	EC      	100.00      
85 	Y      	39 	46 	0.0000  	(1/2)-        	-77.842             	0.019     	2.68 H 0.05              	9648                     	          	        	EC      	100.00      
85 	Y      	39 	46 	0.0190  	(9/2)+        	-77.823             	0.019     	4.86 H 0.13              	17496                    	          	        	EC      	100.00      
85 	Y      	39 	46 	0.0190  	(9/2)+        	-77.823             	0.019     	4.86 H 0.13              	17496                    	          	        	IT      	< 2.0E-3    
86 	Y      	39 	47 	0.0000  	4-            	-79.283             	0.014     	14.74 H 0.02             	53064                    	          	        	EC      	100.00      
86 	Y      	39 	47 	0.2180  	(8+)          	-79.065             	0.014     	47.4 M 0.4               	2844                     	          	        	IT      	99.31       
86 	Y      	39 	47 	0.2180  	(8+)          	-79.065             	0.014     	47.4 M 0.4               	2844                     	          	        	EC      	0.69        
87 	Y      	39 	48 	0.0000  	1/2-          	-83.0184            	0.0011    	79.8 H 0.3               	287280                   	          	        	EC      	100.00      
87 	Y      	39 	48 	0.3808  	9/2+          	-82.6376            	0.0011    	13.37 H 0.03             	48132                    	          	        	EC      	1.57        
87 	Y      	39 	48 	0.3808  	9/2+          	-82.6376            	0.0011    	13.37 H 0.03             	48132                    	          	        	IT      	98.43       
88 	Y      	39 	49 	0.0000  	4-            	-84.299             	0.0015    	106.626 D 0.021          	9212486.4                	          	        	EC      	100.00      
89 	Y      	39 	50 	0.0000  	1/2-          	-87.7084            	0.0016    	STABLE                   	infinity                 	100%      	        	        	            
89 	Y      	39 	50 	0.9090  	9/2+          	-86.7994            	0.0016    	15.663 S 0.005           	15.663                   	          	        	IT      	100.00      
90 	Y      	39 	51 	0.0000  	2-            	-86.4941            	0.0016    	64.053 H 0.02            	230590.8                 	          	        	B-      	100.00      
90 	Y      	39 	51 	0.6817  	7+            	-85.8124            	0.0016    	3.19 H 0.06              	11484                    	          	        	IT      	100.00      
90 	Y      	39 	51 	0.6817  	7+            	-85.8124            	0.0016    	3.19 H 0.06              	11484                    	          	        	B-      	1.8E-3      
91 	Y      	39 	52 	0.0000  	1/2-          	-86.3513            	0.0018    	58.51 D 0.06             	5055264                  	          	        	B-      	100.00      
91 	Y      	39 	52 	0.5556  	9/2+          	-85.7957            	0.0018    	49.71 M 0.04             	2982.6                   	          	        	B-      	< 1.50      
91 	Y      	39 	52 	0.5556  	9/2+          	-85.7957            	0.0018    	49.71 M 0.04             	2982.6                   	          	        	IT      	~ 100.00    
92 	Y      	39 	53 	0.0000  	2-            	-84.816             	0.009     	3.54 H 0.01              	12744                    	          	        	B-      	100.00      
93 	Y      	39 	54 	0.0000  	1/2-          	-84.227             	0.01      	10.18 H 0.08             	36648                    	          	        	B-      	100.00      
93 	Y      	39 	54 	0.7587  	(9/2)+        	-83.468             	0.01      	0.82 S 0.04              	0.82                     	          	        	IT      	100.00      
94 	Y      	39 	55 	0.0000  	2-            	-82.351             	0.006     	18.7 M 0.1               	1122                     	          	        	B-      	100.00      
95 	Y      	39 	56 	0.0000  	1/2-          	-81.209             	0.007     	10.3 M 0.1               	618                      	          	        	B-      	100.00      
96 	Y      	39 	57 	0.0000  	0-            	-78.336             	0.006     	5.34 S 0.05              	5.34                     	          	        	B-      	100.00      
96 	Y      	39 	57 	1.1400  	8+            	-77.196             	0.006     	9.6 S 0.2                	9.6                      	          	        	B-      	100.00      
97 	Y      	39 	58 	0.0000  	(1/2-)        	-76.121             	0.007     	3.75 S 0.03              	3.75                     	          	        	B-      	100.00      
97 	Y      	39 	58 	0.0000  	(1/2-)        	-76.121             	0.007     	3.75 S 0.03              	3.75                     	          	        	BN      	0.06        
97 	Y      	39 	58 	0.6675  	(9/2)+        	-75.454             	0.007     	1.17 S 0.03              	1.17                     	          	        	B-      	> 99.30     
97 	Y      	39 	58 	0.6675  	(9/2)+        	-75.454             	0.007     	1.17 S 0.03              	1.17                     	          	        	IT      	< 0.70      
97 	Y      	39 	58 	0.6675  	(9/2)+        	-75.454             	0.007     	1.17 S 0.03              	1.17                     	          	        	BN      	< 0.08      
97 	Y      	39 	58 	3.5226  	(27/2-)       	-72.599             	0.007     	142 MS 8                 	0.142                    	          	        	B-      	1.60        
97 	Y      	39 	58 	3.5226  	(27/2-)       	-72.599             	0.007     	142 MS 8                 	0.142                    	          	        	IT      	98.40       
98 	Y      	39 	59 	0.0000  	(0)-          	-72.295             	0.008     	0.548 S 0.002            	0.548                    	          	        	B-      	100.00      
98 	Y      	39 	59 	0.0000  	(0)-          	-72.295             	0.008     	0.548 S 0.002            	0.548                    	          	        	BN      	0.33        
98 	Y      	39 	59 	0.4100  	(4,5)         	-71.885             	0.008     	2.0 S 0.2                	2                        	          	        	BN      	3.40        
98 	Y      	39 	59 	0.4100  	(4,5)         	-71.885             	0.008     	2.0 S 0.2                	2                        	          	        	B-      	> 80.00     
98 	Y      	39 	59 	0.4100  	(4,5)         	-71.885             	0.008     	2.0 S 0.2                	2                        	          	        	IT      	< 20.00     
99 	Y      	39 	60 	0.0000  	(5/2+)        	-70.65              	0.007     	1.484 S 0.007            	1.484                    	          	        	B-      	100.00      
99 	Y      	39 	60 	0.0000  	(5/2+)        	-70.65              	0.007     	1.484 S 0.007            	1.484                    	          	        	BN      	1.70        
100	Y      	39 	61 	0.0000  	1-,2-         	-67.327             	0.011     	735 MS 7                 	0.735                    	          	        	BN      	0.92        
100	Y      	39 	61 	0.0000  	1-,2-         	-67.327             	0.011     	735 MS 7                 	0.735                    	          	        	B-      	100.00      
100	Y      	39 	61 	0.1450  	(3,4,5)       	-67.182             	0.011     	0.94 S 0.03              	0.94                     	          	        	B-      	100.00      
